sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,DraftKings,h2h,Miami Dolphins,1.68,,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,DraftKings,h2h,Washington Commanders,2.24,,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,DraftKings,spreads,Miami Dolphins,1.87,-2.5,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,DraftKings,spreads,Washington Commanders,1.95,2.5,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,DraftKings,totals,Over,1.89,47.5,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,DraftKings,totals,Under,1.93,47.5,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,FanDuel,h2h,Miami Dolphins,1.68,,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,FanDuel,h2h,Washington Commanders,2.26,,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,FanDuel,spreads,Miami Dolphins,1.89,-2.5,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,FanDuel,spreads,Washington Commanders,1.93,2.5,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,FanDuel,totals,Over,1.96,47.5,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,FanDuel,totals,Under,1.85,47.5,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,Pinnacle,h2h,Miami Dolphins,1.7,,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,Pinnacle,h2h,Washington Commanders,2.26,,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,Pinnacle,spreads,Miami Dolphins,1.89,-2.5,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,Pinnacle,spreads,Washington Commanders,2.0,2.5,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,Pinnacle,totals,Over,1.89,47.0,Miami Dolphins,Washington Commanders
NFL,,265f0188945bb81ec64751571eb724cb,2025-11-16 08:30:00 CST,Pinnacle,totals,Under,1.98,47.0,Miami Dolphins,Washington Commanders
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,DraftKings,h2h,Atlanta Falcons,1.51,,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,DraftKings,h2h,Carolina Panthers,2.64,,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,DraftKings,spreads,Atlanta Falcons,1.93,-3.5,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,DraftKings,spreads,Carolina Panthers,1.89,3.5,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,DraftKings,totals,Over,1.91,41.5,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,DraftKings,totals,Under,1.91,41.5,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,FanDuel,h2h,Atlanta Falcons,1.51,,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,FanDuel,h2h,Carolina Panthers,2.66,,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,FanDuel,spreads,Atlanta Falcons,1.91,-3.5,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,FanDuel,spreads,Carolina Panthers,1.91,3.5,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,FanDuel,totals,Over,1.91,41.5,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,FanDuel,totals,Under,1.91,41.5,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,Pinnacle,h2h,Atlanta Falcons,1.51,,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,Pinnacle,h2h,Carolina Panthers,2.72,,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,Pinnacle,spreads,Atlanta Falcons,1.93,-3.5,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,Pinnacle,spreads,Carolina Panthers,1.96,3.5,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,Pinnacle,totals,Over,2.05,42.5,Atlanta Falcons,Carolina Panthers
NFL,,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 12:00:00 CST,Pinnacle,totals,Under,1.83,42.5,Atlanta Falcons,Carolina Panthers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,DraftKings,h2h,Buffalo Bills,1.39,,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,DraftKings,h2h,Tampa Bay Buccaneers,3.1,,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,DraftKings,spreads,Buffalo Bills,1.87,-5.5,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,DraftKings,spreads,Tampa Bay Buccaneers,1.95,5.5,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,DraftKings,totals,Over,1.91,46.5,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,DraftKings,totals,Under,1.91,46.5,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,FanDuel,h2h,Buffalo Bills,1.36,,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,FanDuel,h2h,Tampa Bay Buccaneers,3.3,,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,FanDuel,spreads,Buffalo Bills,1.89,-5.5,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,FanDuel,spreads,Tampa Bay Buccaneers,1.93,5.5,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,FanDuel,totals,Over,1.91,46.5,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,FanDuel,totals,Under,1.91,46.5,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,Pinnacle,h2h,Buffalo Bills,1.36,,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,Pinnacle,h2h,Tampa Bay Buccaneers,3.36,,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,Pinnacle,spreads,Buffalo Bills,1.88,-5.5,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,Pinnacle,spreads,Tampa Bay Buccaneers,2.01,5.5,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,Pinnacle,totals,Over,1.96,47.0,Buffalo Bills,Tampa Bay Buccaneers
NFL,,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 12:00:00 CST,Pinnacle,totals,Under,1.9,47.0,Buffalo Bills,Tampa Bay Buccaneers
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,DraftKings,h2h,Chicago Bears,2.3,,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,DraftKings,h2h,Minnesota Vikings,1.65,,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,DraftKings,spreads,Chicago Bears,1.85,3.0,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,DraftKings,spreads,Minnesota Vikings,1.98,-3.0,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,DraftKings,totals,Over,1.91,48.5,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,DraftKings,totals,Under,1.91,48.5,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,FanDuel,h2h,Chicago Bears,2.24,,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,FanDuel,h2h,Minnesota Vikings,1.68,,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,FanDuel,spreads,Chicago Bears,1.95,2.5,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,FanDuel,spreads,Minnesota Vikings,1.87,-2.5,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,FanDuel,totals,Over,1.83,47.5,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,FanDuel,totals,Under,1.98,47.5,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,Pinnacle,h2h,Chicago Bears,2.31,,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,Pinnacle,h2h,Minnesota Vikings,1.68,,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,Pinnacle,spreads,Chicago Bears,1.84,3.0,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,Pinnacle,spreads,Minnesota Vikings,2.06,-3.0,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,Pinnacle,totals,Over,1.9,48.0,Minnesota Vikings,Chicago Bears
NFL,,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 12:00:00 CST,Pinnacle,totals,Under,1.96,48.0,Minnesota Vikings,Chicago Bears
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,DraftKings,h2h,Cincinnati Bengals,3.0,,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,DraftKings,h2h,Pittsburgh Steelers,1.41,,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,DraftKings,spreads,Cincinnati Bengals,1.93,5.5,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,DraftKings,spreads,Pittsburgh Steelers,1.89,-5.5,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,DraftKings,totals,Over,1.87,48.5,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,DraftKings,totals,Under,1.95,48.5,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,FanDuel,h2h,Cincinnati Bengals,3.0,,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,FanDuel,h2h,Pittsburgh Steelers,1.41,,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,FanDuel,spreads,Cincinnati Bengals,1.89,5.5,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,FanDuel,spreads,Pittsburgh Steelers,1.93,-5.5,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,FanDuel,totals,Over,1.96,49.5,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,FanDuel,totals,Under,1.85,49.5,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,Pinnacle,h2h,Cincinnati Bengals,3.05,,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,Pinnacle,h2h,Pittsburgh Steelers,1.42,,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,Pinnacle,spreads,Cincinnati Bengals,1.93,5.5,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,Pinnacle,spreads,Pittsburgh Steelers,1.95,-5.5,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,Pinnacle,totals,Over,1.92,49.0,Pittsburgh Steelers,Cincinnati Bengals
NFL,,7147476b5d96c0ee874b838de3910ee3,2025-11-16 12:00:00 CST,Pinnacle,totals,Under,1.95,49.0,Pittsburgh Steelers,Cincinnati Bengals
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,DraftKings,h2h,Green Bay Packers,1.24,,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,DraftKings,h2h,New York Giants,4.2,,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,DraftKings,spreads,Green Bay Packers,1.89,-7.0,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,DraftKings,spreads,New York Giants,1.93,7.0,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,DraftKings,totals,Over,1.87,42.5,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,DraftKings,totals,Under,1.95,42.5,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,FanDuel,h2h,Green Bay Packers,1.28,,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,FanDuel,h2h,New York Giants,3.9,,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,FanDuel,spreads,Green Bay Packers,1.98,-7.5,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,FanDuel,spreads,New York Giants,1.83,7.5,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,FanDuel,totals,Over,1.96,43.5,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,FanDuel,totals,Under,1.85,43.5,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,Pinnacle,h2h,Green Bay Packers,1.29,,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,Pinnacle,h2h,New York Giants,3.84,,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,Pinnacle,spreads,Green Bay Packers,2.05,-7.5,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,Pinnacle,spreads,New York Giants,1.85,7.5,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,Pinnacle,totals,Over,1.89,42.5,New York Giants,Green Bay Packers
NFL,,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 12:00:00 CST,Pinnacle,totals,Under,1.98,42.5,New York Giants,Green Bay Packers
NFL,,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 12:00:00 CST,DraftKings,h2h,Houston Texans,1.36,,Tennessee Titans,Houston Texans
NFL,,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 12:00:00 CST,DraftKings,h2h,Tennessee Titans,3.25,,Tennessee Titans,Houston Texans
NFL,,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 12:00:00 CST,DraftKings,spreads,Houston Texans,1.87,-5.5,Tennessee Titans,Houston Texans
NFL,,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 12:00:00 CST,DraftKings,spreads,Tennessee Titans,1.95,5.5,Tennessee Titans,Houston Texans
NFL,,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 12:00:00 CST,DraftKings,totals,Over,1.98,37.5,Tennessee Titans,Houston Texans
NFL,,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 12:00:00 CST,DraftKings,totals,Under,1.85,37.5,Tennessee Titans,Houston Texans
NFL,,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 12:00:00 CST,FanDuel,h2h,Houston Texans,1.39,,Tennessee Titans,Houston Texans
NFL,,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 12:00:00 CST,FanDuel,h2h,Tennessee Titans,3.1,,Tennessee Titans,Houston Texans
NFL,,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 12:00:00 CST,FanDuel,spreads,Houston Texans,1.87,-5.5,Tennessee Titans,Houston Texans
NFL,,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 12:00:00 CST,FanDuel,spreads,Tennessee Titans,1.95,5.5,Tennessee Titans,Houston Texans
NFL,,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 12:00:00 CST,FanDuel,totals,Over,1.96,37.5,Tennessee Titans,Houston Texans
